Name,Link,MRP,DiscountedPrice,DiscountPercent
Super Sarvottam Physically Refined Rice Bran Oil 1 L,https://www.jiomart.com/c/groceries/null,199.00,112.00,43% OFF
Maaza Mango Drink 1.2 L,https://www.jiomart.com/c/groceries/null,75.00,54.00,28% OFF
Tata Iodised Salt 1 kg,https://www.jiomart.com/c/groceries/null,28.00,25.00,10% OFF
Maggi 2-Minute Masala Noodles 70 g,https://www.jiomart.com/c/groceries/null,14.00,13.00,7% OFF
Vim Lemon Dishwash Bar 125 g,https://www.jiomart.com/c/groceries/null,10.00,9.00,10% OFF
Closeup Everfresh+ Red Hot Gel Toothpaste 150 g (Pack of 2),https://www.jiomart.com/c/groceries/null,200.00,123.00,38% OFF
Good Life Almonds 500 g,https://www.jiomart.com/c/groceries/null,549.00,349.00,36% OFF
Maaza Mango Drink 600 ml,https://www.jiomart.com/c/groceries/null,42.00,36.00,14% OFF
Chakki Atta 10 kg,https://www.jiomart.com/c/groceries/null,395.00,333.00,15% OFF
Rin Detergent Bar 110 g,https://www.jiomart.com/c/groceries/null,10.00,9.00,10% OFF
Priya Fortified With Vitamin A & D Refined Sunflower Oil 1 L,https://www.jiomart.com/c/groceries/null,215.00,122.00,43% OFF
Good Life Sugar (M) 1 kg,https://www.jiomart.com/c/groceries/null,55.00,46.00,16% OFF
Kissan Fresh Tomato Ketchup Doy Pack 1.2 kg,https://www.jiomart.com/c/groceries/null,160.00,115.00,28% OFF
Maggi 2-Minute Masala Instant Noodles 560 g,https://www.jiomart.com/c/groceries/null,112.00,96.00,14% OFF
7Up 2.25 L,https://www.jiomart.com/c/groceries/null,99.00,66.00,33% OFF
Fortune Refined Soyabean Oil 1 L,https://www.jiomart.com/c/groceries/null,180.00,135.00,25% OFF
Surf Excel Easy Wash Detergent Powder 5 kg,https://www.jiomart.com/c/groceries/null,730.00,580.00,Trending
Surf Excel Detergent Bar 80 g,https://www.jiomart.com/c/groceries/null,10.00,9.00,10% OFF
Fortune Premium Kachi Ghani Pure Mustard Oil 1 L,https://www.jiomart.com/c/groceries/null,229.00,167.00,27% OFF
Bisleri Soda 750 ml,https://www.jiomart.com/c/groceries/null,20.00,13.00,35% OFF
Super Sarvottam Physically Refined Rice Bran Oil 1 L,https://www.jiomart.com/c/groceries/null,199.00,112.00,43% OFF
Maaza Mango Drink 1.2 L,https://www.jiomart.com/c/groceries/null,75.00,54.00,28% OFF
Tata Iodised Salt 1 kg,https://www.jiomart.com/c/groceries/null,28.00,25.00,10% OFF
Maggi 2-Minute Masala Noodles 70 g,https://www.jiomart.com/c/groceries/null,14.00,13.00,7% OFF
Vim Lemon Dishwash Bar 125 g,https://www.jiomart.com/c/groceries/null,10.00,9.00,10% OFF
Closeup Everfresh+ Red Hot Gel Toothpaste 150 g (Pack of 2),https://www.jiomart.com/c/groceries/null,200.00,123.00,38% OFF
Good Life Almonds 500 g,https://www.jiomart.com/c/groceries/null,549.00,349.00,36% OFF
Maaza Mango Drink 600 ml,https://www.jiomart.com/c/groceries/null,42.00,36.00,14% OFF
Chakki Atta 10 kg,https://www.jiomart.com/c/groceries/null,395.00,333.00,15% OFF
Rin Detergent Bar 110 g,https://www.jiomart.com/c/groceries/null,10.00,9.00,10% OFF
Priya Fortified With Vitamin A & D Refined Sunflower Oil 1 L,https://www.jiomart.com/c/groceries/null,215.00,122.00,43% OFF
Good Life Sugar (M) 1 kg,https://www.jiomart.com/c/groceries/null,55.00,46.00,16% OFF
Kissan Fresh Tomato Ketchup Doy Pack 1.2 kg,https://www.jiomart.com/c/groceries/null,160.00,115.00,28% OFF
Maggi 2-Minute Masala Instant Noodles 560 g,https://www.jiomart.com/c/groceries/null,112.00,96.00,14% OFF
7Up 2.25 L,https://www.jiomart.com/c/groceries/null,99.00,66.00,33% OFF
Fortune Refined Soyabean Oil 1 L,https://www.jiomart.com/c/groceries/null,180.00,135.00,25% OFF
Surf Excel Easy Wash Detergent Powder 5 kg,https://www.jiomart.com/c/groceries/null,730.00,580.00,Trending
Surf Excel Detergent Bar 80 g,https://www.jiomart.com/c/groceries/null,10.00,9.00,10% OFF
Fortune Premium Kachi Ghani Pure Mustard Oil 1 L,https://www.jiomart.com/c/groceries/null,229.00,167.00,27% OFF
Bisleri Soda 750 ml,https://www.jiomart.com/c/groceries/null,20.00,13.00,35% OFF
